Ignored,1... 2... 3... KICK IT!,14
Finished,4x4 World Trophy,5
Completed,A Hat in Time,14
Completed,A Hat in Time - Seal the Deal,16
Ignored,AaAaAA!!!,14
Ignored,AaaaaAAaaaAAAaaAAAAaAAAAA!!!,14
Completed,Affordable Space Adventures,18
Ignored,Alex Kidd in the Enchanted Castle,16
Ignored,Alien Soldier,16
Ignored,Alien Storm,16
Ignored,Alien Swarm,14
Ignored,Alleyway (GB),3
Ignored,Altered Beast,16
Completed,AM2R,9
Ignored,Animal Crossing: New Leaf,1
Ignored,Animal Crossing: Wild World,8
Ignored,Arcana Heart 3,21
Started,Assassin's Creed II,14
Ignored,Audiosurf,14
Ignored,Auditorium,14
New,Baldur's Gate,14
New,Baldur's Gate II,14
Finished,Bastion,14
Finished,Bayonetta,21
Finished,Bayonetta,14
Started,Bayonetta 2,18
Ignored,Beat Hazard,14
Completed,Beautiful Katamari,21
Ignored,Before the Echo,14
Ignored,Beyond Oasis,16
Ignored,Bio-Hazard Battle,16
Ignored,Bionic Commando,14
Ignored,BioShock,14
Finished,BioShock,21
Ignored,BioShock 2,14
Ignored,BioShock 2,21
Ignored,BioShock Infinite,14
Ignored,BIT.TRIP BEAT,14
Ignored,BIT.TRIP RUNNER,14
Finished,BlazBlue: Calamity Trigger,21
Completed,Bleed,15
Finished,Bleed 2,15
Ignored,Bonanza Bros,16
Ignored,Borderlands,14
Ignored,Borderlands: Claptrap’s New Robot Revolution,16
Ignored,Borderlands: Mad Moxxi's Underdome Riot,16
Ignored,Borderlands: The Secret Armory of General Knoxx,16
Ignored,Borderlands: The Zombie Island of Dr. Ned,16
New,Brütal Legend,14
Ignored,Bunch of Heroes,14
Finished,Burnout Paradise: The Ultimate Box,14
Ignored,Bust-A-Move 3DX,9
Ignored,Castle Crashers,14
Started,Chibi-Robo! Zip Lash,1
Ignored,Columns,16
Ignored,Columns III,16
Ignored,Comix Zone,16
Ignored,Counter-Strike: Source,14
Ignored,Crack Down,16
Ignored,Crash Team Racing,13
Ignored,Crazy Taxi,14
Ignored,Critical Mass,14
Started,Crypt of the NecroDancer,14
Ignored,Crysis,14
Ignored,Crysis 2,14
Ignored,Crysis Warhead,14
Ignored,Crysis Wars,14
Ignored,Custom Robo Arena,8
Started,Dark Souls II: Scholar of the First Sin,14
Finished,Dark Souls: Prepare to Die Edition,14
Ignored,Darksiders,14
New,Darksiders II,14
Ignored,Daxter,12
Ignored,Dead or Alive: Dimensions,1
Ignored,Dead Rising,21
Ignored,Decap Attack,16
Started,Deus Ex: Game of the Year Edition,14
New,Deus Ex: Human Revolution,14
New,Deus Ex: Invisible War,14
Ignored,Devil Kings,10
Ignored,Devil May Cry 3 (Special Edition),14
Ignored,Devil May Cry 4,14
Finished,Devil May Cry 4,21
Finished,Devil May Cry 4: Special Edition,14
Finished,Devil May Cry 5,14
Finished,Devil May Cry HD Collection,14
New,Dishonored,14
New,DmC: Devil May Cry,14
Started,Downwell,14
Ignored,Downwell,15
Started,Dr. Robotnik's Mean Bean Machine,16
Started,Dragon Ball FighterZ,14
Finished,Dragon Ball Xenoverse 2,14
Started,Dragon's Dogma: Dark Arisen,15
Started,Dream Daddy: A Dad Dating Simulator,14
Ignored,Drunken Robot Pornography,14
New,Dust: An Elysian Tail,14
Ignored,Dustforce,14
Ignored,Dynamite Headdy,16
Started,EarthBound (SNES),3
Ignored,Ecco Jr.,16
Ignored,Ecco the Dolphin,16
Ignored,Ecco The Tides of Time,16
Completed,Elite Beat Agents,8
Ignored,Enemy Mind,14
Ignored,ESWAT,16
Ignored,Eternal Champions,16
Ignored,Ether One,14
Ignored,Etrian Oddysey IV,1
Ignored,EyeToy AntiGrav,10
Ignored,EyeToy Kinetic,10
Ignored,EyeToy Play 3,10
Ignored,F-Zero (SNES),3
Ignored,F-Zero GX,7
Finished,Fairy Bloom Freesia,14
Ignored,Fairytale Fights,21
Ignored,Fallout 3,21
